,Input.save_dir,ocr,boundingBoxes
46,data/anat-1/AnatomyPhysiology/22/slide_006.jpg,chemical synapses most common type of synapse specialized for release and reception of chemical neurotransmitters typically composed of two parts axon terminal of presynaptic neuron contains synaptic vesicles filled with neurotransmitter receptor region on postsynaptic neurons membrane receives neurotransmitter usually on dendrite or cell body two parts separated by fluidfilled synaptic cleft electrical impulse changed to chemical across synapse then back into electrical pearson education inc,[]
47,data/anat-1/AnatomyPhysiology/26/slide_021.jpg,figure the circular and spiral arrangement of cardiac muscle bundles in the myocardium of the heart pearson education inc,"[{""height"":985,""label"":""Diagram"",""left"":14,""top"":1,""width"":1508}]"
48,data/anat-1/AnatomyPhysiology/13/slide_025.jpg,isotonic and isometric contractions cont electrochemical and mechanical events are same in isotonic or isometric contractions but results are different in isotonic contractions actin filaments shorten and cause movement in isometric contractions cross bridges generate force but actin filaments do not shorten myosin heads spin their wheels on same actin binding site pearson education inc,[]
49,data/bio-1/unordered/uM1JOFaATP4/slide_037.jpg,multiple effects of hormones many hormones elicit more than one response same receptors but different for example epinephrine is secreted by the adrenal glands and can raise blood glucose levels increase blood flow to muscles and decrease blood flow to the digestive system target cells vary in their response to a hormone down because they differ in their receptor types or in the molecules that produce the response a,"[{""height"":406,""label"":""Diagram"",""left"":673,""top"":198,""width"":432}]"
50,data/dental/Cariology/5/slide_005.jpg,the big fermentable cariogenic carbohydrates bacteria biofilm caries sugar bugs plaque cavities time,"[{""height"":157,""label"":""Equation"",""left"":14,""top"":167,""width"":606}]"
51,data/bio-4/unordered/MoQWPwzTzFE/slide_029.jpg,figure electron micrograph of lysosomes artificially colored lysosomes light green areas are regions where materials are being digested education ie,"[{""height"":462,""label"":""Diagram"",""left"":17,""top"":3,""width"":534}]"
52,data/anat-1/AnatomyPhysiology/13/slide_019.jpg,graded muscle responses cont muscle response to changes in stimulus strength cont recruitment works on size principle motor units with smallest muscle fibers are recruited first motor units with larger and larger fibers are recruited as stimulus intensity increases largest motor units are activated only for most powerful contractions motor units in muscle usually contract asynchronously some fibers contract while others rest helps prevent fatigue pearson education inc,[]
53,data/anat-1/AnatomyPhysiology/22/slide_001.jpg,nervous system works because information flows from neuron to neuron neurons are functionally connected by synapses junctions that mediate information transfer from one neuron to another neuron or from one neuron to an effector cell pearson education inc,[]
54,data/anat-1/AnatomyPhysiology/26/slide_026.jpg,chambers and associated great vessels cont surface features coronary sulcus atrioventricular groove encircles junction of atria and ventricles anterior interventricular sulcus anterior position of interventricular septum posterior interventricular sulcus landmark on posteroinferior surface h pearson education inc,[]
55,data/dental/Cariology/5/slide_002.jpg,fermentable carbohydrates acid not the sugar positive feedback sugar bacteria acid vl,"[{""height"":105,""label"":""Diagram"",""left"":63,""top"":191,""width"":299}]"
56,data/anat-1/AnatomyPhysiology/13/slide_010.jpg,graded muscle responses normal muscle contraction is relatively smooth and strength varies with needs a muscle twitch is seen only in lab setting or with neuromuscular problems but not in normal muscle graded muscle responses vary strength of contraction for different demands required for proper control of skeletal movement responses are graded by changing frequency of stimulation changing strength of stimulation pearson education inc,[]
57,data/anat-1/AnatomyPhysiology/22/slide_008.jpg,animation neurotransmitters pearson education inc,"[{""height"":728,""label"":""Diagram"",""left"":317,""top"":174,""width"":1287}]"
58,data/bio-4/unordered/MoQWPwzTzFE/slide_015.jpg,figure membrane transport mechanisms a simple diffusion osmosis c facilitated active transport of fatsoluble diffusion of diffusion an some transport molecules directly through integral protein proteins use atp through the the lipid bilayer spans the as an energy phospholipid source to actively bilayer down their enables the pump substances concentration passage of a across the plasma gradient particular membrane against across the their concentration membrane gradient education ie,"[{""height"":451,""label"":""Diagram"",""left"":14,""top"":8,""width"":619}]"
59,data/bio-1/unordered/uM1JOFaATP4/slide_039.jpg,faced with environmental fluctuations animals manage their internal environment by either regulating or conforming otter temperature regulator endotherm largemouth bass temperature conformer ambient environmental temperature c body temperature c body temperature c ambient temperature c pearson education inc,"[{""height"":388,""label"":""Table"",""left"":257,""top"":261,""width"":388},{""height"":383,""label"":""Table"",""left"":646,""top"":262,""width"":375}]"
60,data/dental/OperativeDentistryNBDEPartII/1/slide_014.jpg,incipientreversible on smooth surface appears opaque white when air dried and seems to caries disappear when wet extent enamel surface i is broken not intact and usually the lesion has advanced into the dentin,[]
61,data/anat-1/AnatomyPhysiology/26/slide_037.jpg,animation rotating heart sectioned pearson education inc,"[{""height"":729,""label"":""Image"",""left"":327,""top"":177,""width"":1289}]"
62,data/anat-1/AnatomyPhysiology/13/slide_017.jpg,graded muscle responses cont muscle response to changes in stimulus strength recruitment or multiple motor unit summation stimulus is sent to more muscle fibers leading to more precise control types of stimulus involved in recruitment subthreshold stimulus stimulus not strong enough so no contractions seen threshold stimulus stimulus is strong enough to cause first observable contraction maximal stimulus strongest stimulus that increases maximum contractile force all motor units have been recruited pearson education inc,[]
63,data/bio-1/unordered/uM1JOFaATP4/slide_045.jpg,thermoregulation is the process by which animals maintain an internal temperature within a normal range pearson education inc,"[{""height"":404,""label"":""Diagram"",""left"":422,""top"":258,""width"":453}]"
64,data/bio-4/unordered/MoQWPwzTzFE/slide_012.jpg,the plasma membrane to location at the interface of cell s exterior and interior provides barrier against substances outside cell some plasma membranes act as receptors determines which substances enter or leave the cell membrane is selectively permeable education ie,[]
65,data/anat-1/AnatomyPhysiology/22/slide_065.jpg,figure types of circuits in neuronal pools input pearson education inc d parallel afterdischarge circuit e signal stimulates neurons arranged in parallel arrays that eventually converge on a single output cell e impulses reach output cell at different times causing a burst of impulses called an afterdischarge e example may be involved in exacting mental processes such as mathematical calculations,"[{""height"":937,""label"":""Diagram"",""left"":14,""top"":2,""width"":1714}]"
66,data/dental/OperativeDentistryNBDEPartII/1/slide_013.jpg,progress of lesions intact surface is essential for remineralization cavitation is an irreversible process that requires restorative treatment may take years to form an actual enamel cavitation cavity enamel demineralization dentin demineralization enamel cavitation dentin cavitation,"[{""height"":271,""label"":""Diagram"",""left"":28,""top"":436,""width"":909}]"
67,data/anat-1/AnatomyPhysiology/26/slide_030.jpg,chambers and associated great vessels cont atria the receiving chambers cont three veins empty into right atrium superior vena cava returns blood from body regions above the diaphragm inferior vena cava returns blood from body regions below the diaphragm coronary sinus returns blood from coronary veins left atrium receives oxygenated blood from lungs pectinate muscles only in auricles four pulmonary veins return blood from lungs pearson education inc,[]
68,data/anat-1/AnatomyPhysiology/13/slide_006.jpg,the muscle twitch cont three phases of muscle twitch latent period events of excitationcontraction coupling no muscle tension seen period of contraction cross bridge formation tension increases period of relaxation reentry into sr tension declines to zero muscle contracts faster than it relaxes pearson education inc,[]
69,data/dental/OperativeDentistryNBDEPartII/1/slide_021.jpg,microbiology streptococcus mutans enamel caries gram positive cocci glucosyltransferase gtf converts sucrose to glucans and fructans extracellular polysaccharides that help stick it to tooth acidogenic and aciduricconverts sucrose into lactic acid and tolerates acid well bacteriocinskill off competing microbes lactobacillus dentinal caries actinomyces root caries,[]
70,data/bio-4/unordered/MoQWPwzTzFE/slide_003.jpg,eory referred to as the cell theo this is recall that cells basic building blocks of all living,"[{""height"":154,""label"":""Image"",""left"":4,""top"":227,""width"":209},{""height"":167,""label"":""Image"",""left"":211,""top"":269,""width"":206},{""height"":177,""label"":""Image"",""left"":421,""top"":300,""width"":198},{""height"":94,""label"":""Image"",""left"":19,""top"":6,""width"":89}]"
71,data/anat-1/AnatomyPhysiology/22/slide_019.jpg,neurotransmitter receptors cause graded potentials that vary in strength based on amount of neurotransmitter released time neurotransmitter stays in cleft depending on effect of chemical synapse there are two types of postsynaptic potentials epsp excitatory postsynaptic potentials ipsp inhibitory postsynaptic potentials pearson education inc,[]
72,data/bio-1/unordered/uM1JOFaATP4/slide_042.jpg,homeostasis organisms use homeostasis to maintain a steady state or internal balance regardless of external environment in humans body temperature blood ph and glucose concentration are each maintained ata constant level regulation of room temperature by a thermostat is analogous to homeostasis pearson education inc thermostat turns heater off room temperature decreases room temperature at set point room temperature thermostat increases heater on,"[{""height"":482,""label"":""Diagram"",""left"":642,""top"":154,""width"":475}]"
73,data/anat-1/AnatomyPhysiology/13/slide_001.jpg,same principles apply to contraction of both single fibers and whole muscles contraction produces muscle tension the force exerted on load or object to be moved contraction maymay not shorten muscle contraction no shortening muscle tension increases but does not exceed load isotonic contraction muscle shortens because muscle tension exceeds load pearson education inc,[]
74,data/anat-1/AnatomyPhysiology/26/slide_042.jpg,figure heart valves pulmonary valve aortic valve area of cutaway mitral valve tricuspid valve myocardium mitral left atrioventricular valve tricuspid right atrioventricular valve aortic valve pulmonary valve cardiac skeleton anterior a b pearson education inc,"[{""height"":992,""label"":""Diagram"",""left"":14,""top"":1,""width"":1848}]"
75,data/bio-4/unordered/MoQWPwzTzFE/slide_004.jpg,two main types of cells prokaryotic cells lack internal membrane bound organelles smaller eukaryotic cells contain internal membrane bound organelles larger prokaryot e eukaryote,"[{""height"":155,""label"":""Image"",""left"":51,""top"":253,""width"":167},{""height"":197,""label"":""Image"",""left"":308,""top"":245,""width"":290}]"
76,data/dental/OperativeDentistryNBDEPartII/1/slide_002.jpg,hydroxyapatite hydroxyapatite ha hexagonal white powder low bioresorption rate,"[{""height"":354,""label"":""Diagram"",""left"":549,""top"":246,""width"":381},{""height"":258,""label"":""Image"",""left"":135,""top"":400,""width"":281},{""height"":73,""label"":""Equation"",""left"":587,""top"":164,""width"":298}]"
77,data/anat-1/AnatomyPhysiology/22/slide_062.jpg,figure types of circuits in neuronal pools input pearson education inc many outputs a diverging circuit e one input many outputs e an amplifying circuit example a single neuron in the brain can activate or more motor neurons in the spinal cord and thousands of skeletal muscle fibers,"[{""height"":866,""label"":""Diagram"",""left"":16,""top"":3,""width"":1764}]"
78,data/anat-1/AnatomyPhysiology/13/slide_008.jpg,the muscle twitch cont differences in strength and duration of twitches are due to variations in metabolic properties and enzymes between muscles example eye muscles contraction are rapid and brief whereas larger fleshy muscles calf muscles contract more slowly and hold it longer pearson education inc,[]
79,data/bio-1/unordered/uM1JOFaATP4/slide_028.jpg,neuroendocrine signaling for many hormones secretion is triggered when the nervous system detects and processes a stimulus in vertebrates neuroendocrine signaling involves the hypothalamus and the pituitary gland found at its base,"[{""height"":372,""label"":""Diagram"",""left"":605,""top"":133,""width"":508}]"
80,data/dental/OperativeDentistryNBDEPartII/1/slide_005.jpg,stephan curve plaque ph time minutes,"[{""height"":677,""label"":""Diagram"",""left"":95,""top"":32,""width"":602}]"
81,data/bio-4/unordered/MoQWPwzTzFE/slide_038.jpg,cytoplasmic inclusions temporary structures not present in all cell types may consist of pigments crystals of protein and food stores lipid dropletsfound in liver cell and fat cells glycosomesstore sugar in the form of glycogen,[]
82,data/anat-1/AnatomyPhysiology/26/slide_045.jpg,figure the function of the atrioventricular av valves blood returning to the heart fills atria pressing against the av valves the increased pressure forces valves open as ventricles fill av valve flaps hang limply into ventricles direction of blood flow atrium cusp of atrioventricular valve open chordae tendineae papillary ventricle muscle atria contract forcing additional blood into ventricles av valves open atrial pressure greater than ventricular pressure pearson education inc,"[{""height"":815,""label"":""Diagram"",""left"":2,""top"":5,""width"":1883}]"
83,data/anat-1/AnatomyPhysiology/22/slide_010.jpg,focus figure chemical synapses transmit signals from one neuron to another using neurotransmitters slide pearson education inc,"[{""height"":1045,""label"":""Diagram"",""left"":13,""top"":2,""width"":1567}]"
84,data/bio-1/unordered/uM1JOFaATP4/slide_026.jpg,simple endocrine pathways digestive juices in the stomach are extremely acidic and must be neutralized before the remaining steps of digestion take place coordination of ph control in the duodenum relies on an endocrine pathway pearson education inc,"[{""height"":371,""label"":""Diagram"",""left"":318,""top"":280,""width"":666}]"
85,data/anat-1/AnatomyPhysiology/13/slide_034.jpg,figure pathways for regenerating atp during muscle activity aerobic cellular respiration energy source glucose pyruvic acid free fatty acids from adipose tissue amino acids from protein catabolism net gain per glucose oxygen use required products atp per glucose duration of energy provided hours pearson education inc,"[{""height"":1050,""label"":""Diagram"",""left"":15,""top"":2,""width"":1350}]"
86,data/bio-4/unordered/MoQWPwzTzFE/slide_044.jpg,chromatin and chromosomes chromosomeshighest level of organization of chromatin contains a long molecule of dna atypical human cell contains chromosomes,[]
87,data/dental/OperativeDentistryNBDEPartII/1/slide_020.jpg,mpant rapidly damages tooth structure lightcolored soft infectious demineralized tooth structure that is almost terms remineralized discolored fairly hard caries a brownblack hard cariesresistant if exposed to fluoride dentinal lesion has sclerotic dentin,"[{""height"":184,""label"":""Image"",""left"":4,""top"":536,""width"":247}]"
88,data/anat-1/AnatomyPhysiology/26/slide_039.jpg,animation rotating heart pearson education inc,"[{""height"":601,""label"":""Image"",""left"":676,""top"":269,""width"":639}]"
89,data/anat-1/AnatomyPhysiology/13/slide_033.jpg,providing energy for contraction cont aerobic respiration produces of atp during rest and lightto moderate exercise slower than anaerobic pathway consists of series of chemical reactions that occur in mitochondria and require oxygen breaks glucose into and large amount atp can be produced fuels used include glucose from glycogen stored in muscle fiber then bloodborne glucose and free fatty acids fatty acids are main fuel after minutes of exercise pearson education inc,[]
90,data/bio-1/unordered/uM1JOFaATP4/slide_021.jpg,hormones and signaling a signaling by hormones signaling molecules sent out by the endocrine system are called hormones hormones may have effects in a single location or signal throughout the body only cells with receptors for a certain hormone can respond to it the endocrine system is well adapted for coordinating gradual changes that affect the entire body pearson education inc,"[{""height"":556,""label"":""Diagram"",""left"":707,""top"":90,""width"":172}]"
